root;0
daemon;1
bin;2
sys;3
sync;4
games;5
man;6
lp;7
mail;8
news;9
uucp;10
proxy;13
www-data;33
backup;34
list;38
irc;39
gnats;41
systemd-network;100
systemd-resolve;101
messagebus;102
systemd-timesync;103
syslog;104
_apt;105
tss;106
uuidd;107
tcpdump;108
avahi-autoipd;109
usbmux;110
dnsmasq;111
kernoops;112
avahi;113
lightdm;115
rtkit;116
fwupd-refresh;119
saned;120
colord;121
pulse;122
hplip;123
vboxadd;999
alvaro;1000
estudiante1;1001
estudiante2;1002
estudiante3;1003
usu1;1004
usu2;1005
usu3;1006
usu4;1007
nobody;65534
